Feature,Importance
Flow Duration,0.22149662519453897
Active Mean,0.1978818418359729
Idle Mean,0.11211397561473727
Bwd IAT Mean,0.10379396976148415
Fwd IAT Mean,0.10332618711457597
Flow IAT Mean,0.09196267665917279
Total Backward Packets,0.05854897945409872
Flow Bytes/s,0.03710485194369091
Flow IAT Std,0.01902532951901988
SYN Flag Count,0.014510759397809827
Flow Packets/s,0.013924990447208884
Total Fwd Packets,0.008306822244422876
Total Length of Fwd Packets,0.005780571240668439
Total Length of Bwd Packets,0.0056656651659171
RST Flag Count,0.00441939953803723
Fwd PSH Flags,0.0004992728065118914
init_win_bytes_backward,0.0004858658777629167
Destination Port,0.0004237108175348436
init_win_bytes_forward,0.0004012166826861798
ACK Flag Count,0.0001490344866189781
